[2025-04-27 10:33:13] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
[2025-04-28 03:20:14] IP: 172.20.10.3 | Forwarded-For: 204.214.224.53 | UA: curl/7.64.1 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials asdfd:rtrtrtrt!
[2025-04-28 03:20:14] IP: 172.20.10.3 | Forwarded-For: 64.196.178.248 | UA: FuzzScanner/1.0 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials asdfd:3333333!
[2025-04-28 03:20:14] IP: 172.20.10.3 | Forwarded-For: 145.121.73.177 | UA: FuzzScanner/1.0 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials sfbb:admin12!
[2025-04-28 03:20:15] IP: 172.20.10.3 | Forwarded-For: 171.57.73.100 | UA: sqlmap/1.6.10 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials sfbb:password!
[2025-04-28 03:20:15] IP: 172.20.10.3 | Forwarded-For: 148.169.53.182 | UA: curl/7.64.1 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials sfbb:123456!
[2025-04-28 03:20:15] IP: 172.20.10.3 | Forwarded-For: 224.105.97.6 | UA: curl/7.64.1 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials sfbb:sssss!
[2025-04-28 03:20:16] IP: 172.20.10.3 | Forwarded-For: 28.142.194.117 | UA: Mozilla/5.0 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials sfbb:ccccccc!
[2025-04-28 03:20:16] IP: 172.20.10.3 | Forwarded-For: 66.116.67.125 | UA: Mozilla/5.0 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials sfbb:gfgfgfg!
[2025-04-28 03:20:16] IP: 172.20.10.3 | Forwarded-For: 237.251.160.167 | UA: Mozilla/5.0 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials sfbb:rtrtrtrt!
[2025-04-28 03:20:17] IP: 172.20.10.3 | Forwarded-For: 136.126.1.170 | UA: Mozilla/5.0 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials sfbb:3333333!
[2025-04-28 03:20:17] IP: 172.20.10.3 | Forwarded-For: 60.161.121.228 | UA: FuzzScanner/1.0 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials ssss:admin12!
[2025-04-28 03:20:18] IP: 172.20.10.3 | Forwarded-For: 130.241.177.100 | UA: curl/7.64.1 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials ssss:password!
[2025-04-28 03:20:18] IP: 172.20.10.3 | Forwarded-For: 24.69.175.78 | UA: sqlmap/1.6.10 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials ssss:123456!
[2025-04-28 03:20:18] IP: 172.20.10.3 | Forwarded-For: 160.40.102.89 | UA: curl/7.64.1 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials ssss:sssss!
[2025-04-28 03:20:19] IP: 172.20.10.3 | Forwarded-For: 151.25.44.86 | UA: Mozilla/5.0 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials ssss:ccccccc!
[2025-04-28 03:20:19] IP: 172.20.10.3 | Forwarded-For: 43.35.42.146 | UA: Mozilla/5.0 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials ssss:gfgfgfg!
[2025-04-28 03:20:19] IP: 172.20.10.3 | Forwarded-For: 12.210.16.152 | UA: curl/7.64.1 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials ssss:rtrtrtrt!
[2025-04-28 03:20:20] IP: 172.20.10.3 | Forwarded-For: 138.224.255.54 | UA: curl/7.64.1 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials ssss:3333333!
[2025-04-28 03:20:20] IP: 172.20.10.3 | Forwarded-For: 130.39.221.213 | UA: Mozilla/5.0 | Method: POST | Endpoint: /login | Oh no! Enemy trying to inject us with sql VENOM: ' OR '1'='1
[2025-04-28 03:20:20] IP: 172.20.10.3 | Forwarded-For: 130.39.221.213 | UA: Mozilla/5.0 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials ' OR '1'='1:test!
[2025-04-28 03:20:20] IP: 172.20.10.3 | Forwarded-For: 19.20.195.136 | UA: curl/7.64.1 | Method: GET | Endpoint: /search | Enemy OHAYO to searchbar-chan
[2025-04-28 03:20:20] IP: 172.20.10.3 | Forwarded-For: 19.20.195.136 | UA: curl/7.64.1 | Method: GET | Endpoint: /search | Enemy try to inject VENOM to our Honey
[2025-04-28 03:20:20] IP: 172.20.10.3 | Forwarded-For: 136.165.56.24 | UA: sqlmap/1.6.10 | Method: POST | Endpoint: /login | Oh no! Enemy trying to inject us with sql VENOM: admin' --
[2025-04-28 03:20:20] IP: 172.20.10.3 | Forwarded-For: 136.165.56.24 | UA: sqlmap/1.6.10 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials admin' --:test!
[2025-04-28 03:20:20] IP: 172.20.10.3 | Forwarded-For: 227.226.216.125 | UA: Mozilla/5.0 | Method: GET | Endpoint: /search | Enemy OHAYO to searchbar-chan
[2025-04-28 03:20:20] IP: 172.20.10.3 | Forwarded-For: 227.226.216.125 | UA: Mozilla/5.0 | Method: GET | Endpoint: /search | Enemy try to inject VENOM to our Honey
[2025-04-28 03:20:21] IP: 172.20.10.3 | Forwarded-For: 105.125.91.223 | UA: FuzzScanner/1.0 | Method: POST | Endpoint: /login | Oh no! Enemy trying to inject us with sql VENOM: ' OR 1=1--
[2025-04-28 03:20:21] IP: 172.20.10.3 | Forwarded-For: 105.125.91.223 | UA: FuzzScanner/1.0 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials ' OR 1=1--:test!
[2025-04-28 03:20:21] IP: 172.20.10.3 | Forwarded-For: 228.64.180.154 | UA: FuzzScanner/1.0 | Method: GET | Endpoint: /search | Enemy OHAYO to searchbar-chan
[2025-04-28 03:20:21] IP: 172.20.10.3 | Forwarded-For: 228.64.180.154 | UA: FuzzScanner/1.0 | Method: GET | Endpoint: /search | Enemy try to inject VENOM to our Honey
[2025-04-28 03:20:21] IP: 172.20.10.3 | Forwarded-For: 165.49.26.157 | UA: sqlmap/1.6.10 | Method: POST | Endpoint: /login | Oh no! Enemy trying to inject us with sql VENOM: ' UNION SELECT NULL, NULL--
[2025-04-28 03:20:21] IP: 172.20.10.3 | Forwarded-For: 165.49.26.157 | UA: sqlmap/1.6.10 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials ' UNION SELECT NULL, NULL--:test!
[2025-04-28 03:20:21] IP: 172.20.10.3 | Forwarded-For: 119.133.165.208 | UA: curl/7.64.1 | Method: GET | Endpoint: /search | Enemy OHAYO to searchbar-chan
[2025-04-28 03:20:21] IP: 172.20.10.3 | Forwarded-For: 119.133.165.208 | UA: curl/7.64.1 | Method: GET | Endpoint: /search | Enemy try to inject VENOM to our Honey
[2025-04-28 03:20:22] IP: 172.20.10.3 | Forwarded-For: 81.241.187.52 | UA: sqlmap/1.6.10 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
[2025-04-28 03:20:22] IP: 172.20.10.3 | Forwarded-For: 50.161.95.159 | UA: Mozilla/5.0 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
[2025-04-28 03:20:22] IP: 172.20.10.3 | Forwarded-For: 214.58.87.190 | UA: FuzzScanner/1.0 | Method: GET | Endpoint: /shell | Look like a SCOUT to me
[2025-04-28 03:20:22] IP: 172.20.10.3 | Forwarded-For: 160.45.4.247 | UA: curl/7.64.1 | Method: GET | Endpoint: /config.php | Look like a SCOUT to me
[2025-04-28 03:20:23] IP: 172.20.10.3 | Forwarded-For: 160.141.23.190 | UA: Mozilla/5.0 | Method: GET | Endpoint: /robots.txt | Look like a SCOUT to me
[2025-04-28 03:20:23] IP: 172.20.10.3 | Forwarded-For: 176.145.24.204 | UA: curl/7.64.1 | Method: GET | Endpoint: /hidden | Look like a SCOUT to me
[2025-04-28 03:20:23] IP: 172.20.10.3 | Forwarded-For: 74.176.88.75 | UA: sqlmap/1.6.10 | Method: GET | Endpoint: /user | Look like a SCOUT to me
[2025-04-28 04:25:57] IP: 10.20.27.71 | Forwarded-For: 10.20.27.71 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-04-28 04:25:57] IP: 10.20.27.71 | Forwarded-For: 10.20.27.71 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /favicon.ico | Look like a SCOUT to me
[2025-04-28 04:30:36] IP: 10.20.27.71 | Forwarded-For: 10.20.27.71 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-05-02 23:33:01] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
[2025-05-02 23:33:03] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-05-02 23:33:04] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
[2025-05-02 23:33:07] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials admin:!
[2025-05-02 23:33:09] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
[2025-05-02 23:33:12] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: POST | Endpoint: /login | Enemy say NAKA H ZONE with the credentials admin:admin123!
[2025-05-02 23:33:12] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /dashboard | Enemy OHAYO to H ZONE
[2025-05-02 23:33:19] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /dashboard | Enemy OHAYO to H ZONE
[2025-05-02 23:33:19] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-05-02 23:43:00] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-05-02 23:43:02] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
[2025-05-02 23:43:05] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: POST | Endpoint: /login | Enemy say NAKA H ZONE with the credentials admin:admin123!
[2025-05-02 23:43:05] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /dashboard | Enemy OHAYO to H ZONE
[2025-05-02 23:43:09] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /search | Enemy OHAYO to searchbar-chan
[2025-05-02 23:43:10] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /post/1 | Enemy OHAYO to post1-chan
[2025-05-02 23:43:11] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-05-02 23:43:12] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /post/2 | Enemy OHAYO to post2-chan
[2025-05-02 23:43:14] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-05-02 23:48:18] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-05-02 23:48:20] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-05-03 11:24:13] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-05-03 11:24:15] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-05-03 11:24:16] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /post/1 | Enemy OHAYO to post1-chan
[2025-05-03 11:24:17] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-05-03 11:24:18] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /post/2 | Enemy OHAYO to post2-chan
[2025-05-03 11:24:19] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
[2025-05-03 11:30:12] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
[2025-05-03 11:30:13] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
